Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
14.08.2020 5:00;12.июл;708.8;752.0;;100;Ветер, дующий с востока;1;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;;12.июл;;;;;;
14.08.2020 8:00;15.янв;709.7;752.6;;100;Ветер, дующий с севера;1;;;100%.; ;;;11.июл;;;;2500 или более, или облаков нет.;;;10.0;15.янв;;;;;;
14.08.2020 11:00;16.май;710.6;753.3;;100;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;;60%.;200-300;;;4.0;16.май;;;;;;
14.08.2020 14:00;19.май;710.0;752.2;;86;Ветер, дующий с западо-юго-запада;3;;;100%.; ;;;;;;60%.;600-1000;;;10.0;17.янв;;;;;;
14.08.2020 17:00;21.май;709.5;751.3;;69;Ветер, дующий с юга;3;;;100%.; ;;;;;;40%.;600-1000;;;10.0;15.май;;;;;;
14.08.2020 20:00;19.май;709.9;752.0;;86;Ветер, дующий с юго-юго-запада;3;;;100%.; ;;;;21.сен;;20–30%.;1500-2000;;;10.0;17.янв;;;;;;
14.08.2020 23:00;16.мар;710.3;753.1;;91;Ветер, дующий с запада;3;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;14.авг;;;;;;
15.08.2020 2:00;12.сен;711.2;754.6;;100;Ветер, дующий с северо-северо-востока;2;;;100%.; ;;;;;;60%.;300-600;;;0.2;12.сен;;;;;;
15.08.2020 5:00;14.янв;712.0;755.2;;100;Ветер, дующий с северо-востока;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;;;;;;;;0.3;14.янв;;;;;;
15.08.2020 8:00;14.авг;712.6;755.8;;100;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;12.апр;;;100%.;100-200;;;6.0;14.авг;;;;;;
15.08.2020 11:00;16.янв;713.1;756.0;;100;Ветер, дующий с северо-северо-востока;3;;;100%.; ;;;;;;100%.;100-200;;;7.0;16.янв;;;;;;
15.08.2020 14:00;18.янв;713.2;755.8;;89;Ветер, дующий с севера;2;;;100%.; ;;;;;;100%.;300-600;;;10.0;16.мар;;;;;;
15.08.2020 17:00;20.апр;713.0;755.2;;81;Ветер, дующий с западо-юго-запада;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;17.0;;;;;;
15.08.2020 20:00;18.апр;713.5;756.1;;87;Ветер, дующий с запада;3;;;100%.; ;;;;20.сен;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;10.0;16.фев;;;;;;
15.08.2020 23:00;16.янв;714.0;757.0;;100;Ветер, дующий с востока;1;;;100%.; ;;;;;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;3.0;16.янв;;;;;;
16.08.2020 2:00;13.апр;714.1;757.5;;100;Ветер, дующий с востока;1;;;100%.; ;;;;;;100%.;50-100;;;01.фев;13.апр;;;;;;
16.08.2020 5:00;13.июл;713.7;757.0;;100;Ветер, дующий с востоко-северо-востока;2;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;;;;;;;;0.1;13.июл;;;;;;
16.08.2020 8:00;13.июл;714.2;757.6;;100;Штиль, безветрие;0;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;12.апр;;;;;;;0.2;13.июл;;;;;;
16.08.2020 11:00;16.0;714.3;757.3;;100;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;;100%.;300-600;;;6.0;16.0;;;;;;
16.08.2020 14:00;22.0;713.7;755.8;;63;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;14.июл;;;;;;
16.08.2020 17:00;23.фев;713.2;755.2;;54;Ветер, дующий с севера;1;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;13.апр;;;;;;
16.08.2020 20:00;15.авг;714.1;757.1;;100;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;23.май;;70 – 80%.;1500-2000;;;10.0;15.авг;;;;;;
16.08.2020 23:00;15.апр;714.7;757.9;;94;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;14.апр;;;;;;
17.08.2020 2:00;13.апр;715.1;758.5;;99;Ветер, дующий с северо-востока;1;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;13.мар;;;;;;
17.08.2020 5:00;09.июл;715.4;759.5;;100;Ветер, дующий с востоко-северо-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.июл;;;;;;
17.08.2020 8:00;11.апр;716.2;760.1;;91;Ветер, дующий с западо-северо-запада;1;;;70 – 80%.; ;;;08.мар;;;10%  или менее, но не 0;300-600;;;10.0;10.0;;;;;;
17.08.2020 11:00;17.0;716.3;759.4;;60;Ветер, дующий с западо-северо-запада;2;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.фев;;;;;;
17.08.2020 14:00;20.0;715.8;758.5;;37;Ветер, дующий с севера;3;;;10%  или менее, но не 0; ;;;;;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;10.0;04.сен;;;;;;
17.08.2020 17:00;21.янв;715.3;757.8;;38;Ветер, дующий с северо-востока;2;;;10%  или менее, но не 0; ;;;;;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;10.0;06.фев;;;;;;
17.08.2020 20:00;18.мар;715.8;758.7;;44;Ветер, дующий с востоко-северо-востока;2;;;10%  или менее, но не 0; ;;;;21.апр;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;10.0;05.сен;;;;;;
17.08.2020 23:00;12.июл;716.8;760.5;;76;Ветер, дующий с востока;2;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;08.июн;;;;;;
18.08.2020 2:00;07.фев;716.4;761.0;;100;Ветер, дующий с востока;2;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;07.фев;;;;;;
18.08.2020 5:00;08.апр;715.8;760.1;;100;Ветер, дующий с востока;3;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;08.апр;;;;;;
18.08.2020 8:00;11.май;715.1;758.9;;92;Штиль, безветрие;0;;;20–30%.; ;;;05.авг;;;;2500 или более, или облаков нет.;;;10.0;10.мар;;;;;;
18.08.2020 11:00;21.янв;714.3;756.6;;58;Ветер, дующий с юга;3;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.май;;;;;;
18.08.2020 14:00;24.0;713.2;755.1;;40;Ветер, дующий с юго-юго-востока;7;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.апр;;;;;;
18.08.2020 17:00;24.июл;712.3;754.0;;42;Ветер, дующий с востоко-юго-востока;6;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.авг;;;;;;
18.08.2020 20:00;20.фев;711.9;754.2;;55;Ветер, дующий с востока;3;;;100%.; ;;;;24.сен;;;2500 или более, или облаков нет.;;;10.0;10.сен;;;;;;
18.08.2020 23:00;17.июн;712.3;755.1;;63;Ветер, дующий с востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.апр;;;;;;
19.08.2020 2:00;14.май;712.3;755.5;;86;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.фев;;;;;;
19.08.2020 5:00;13.июн;712.0;755.3;;84;Ветер, дующий с востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.сен;;;;;;
19.08.2020 8:00;17.янв;712.0;754.7;;74;Ветер, дующий с востоко-юго-востока;2;;;20–30%.; ;;;11.май;;;;2500 или более, или облаков нет.;;;10.0;12.апр;;;;;;
19.08.2020 11:00;24.мар;711.7;753.4;;47;Ветер, дующий с юго-юго-востока;8;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.мар;;;;;;
19.08.2020 14:00;27.апр;710.9;752.1;;41;Ветер, дующий с юго-юго-востока;6;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.янв;;;;;;
19.08.2020 17:00;28.0;710.1;751.1;;36;Ветер, дующий с юго-востока;7;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.июл;;;;;;
19.08.2020 20:00;22.июл;709.7;751.5;;50;Ветер, дующий с юго-юго-востока;2;;;20–30%.; ;;;;28.май;;;2500 или более, или облаков нет.;;;10.0;11.июн;;;;;;
19.08.2020 23:00;18.сен;710.1;752.5;;61;Ветер, дующий с юго-востока;2;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.янв;;;;;;
20.08.2020 2:00;18.сен;709.9;752.2;;62;Ветер, дующий с юго-юго-востока;1;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.апр;;;;;;
20.08.2020 5:00;16.июн;711.0;753.7;;83;Ветер, дующий с юго-запада;2;;;70 – 80%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.июл;;;;;;
20.08.2020 8:00;18.0;713.7;756.4;;87;Ветер, дующий с западо-северо-запада;6;;;100%.; ;;;14.июл;;;20–30%.;1500-2000;;;10.0;15.авг;;;;;;
20.08.2020 11:00;17.апр;715.3;758.2;;84;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;100%.;300-600;;;10.0;14.июл;;;;;;
20.08.2020 14:00;19.янв;715.8;758.5;;75;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;50%.;300-600;;;10.0;14.июн;;;;;;
20.08.2020 17:00;22.0;715.4;757.6;;68;Ветер, дующий с юга;2;;;100%.; ;;;;;;20–30%.;600-1000;;;10.0;15.июл;;;;;;
20.08.2020 20:00;19.мар;715.7;758.3;;75;Ветер, дующий с юга;2;;;100%.; ;;;;23.апр;;;2500 или более, или облаков нет.;;;10.0;14.авг;;;;;;
20.08.2020 23:00;14.авг;716.5;759.8;;100;Ветер, дующий с востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.авг;;;;;;
21.08.2020 2:00;11.июн;716.5;760.3;;100;Ветер, дующий с востоко-северо-востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.июн;;;;;;
21.08.2020 5:00;10.апр;716.3;760.3;;100;Ветер, дующий с востока;2;;;100%.; ;;;;;;50%.;50-100;;;0.4;10.апр;;;;;;
21.08.2020 8:00;12.янв;716.1;759.8;;100;Ветер, дующий с востока;2;;;100%.; ;;;09.сен;;;;2500 или более, или облаков нет.;;;10.0;12.янв;;;;;;
21.08.2020 11:00;19.мар;715.5;758.1;;77;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;15.янв;;;;;;
21.08.2020 14:00;20.апр;714.4;756.8;;67;Ветер, дующий с юга;4;;;100%.; ;;;;;;20–30%.;600-1000;;;10.0;14.янв;;;;;;
21.08.2020 17:00;19.май;712.9;755.3;;87;Ветер, дующий с юга;4;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;17.мар;;;;;;
21.08.2020 20:00;17.авг;711.5;754.1;;84;Ветер, дующий с юго-востока;1;;;100%.; ;;;;21.фев;;;2500 или более, или облаков нет.;;;10.0;15.0;;;;;;
21.08.2020 23:00;15.0;710.5;753.5;;94;Ветер, дующий с северо-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.0;;;;;;
22.08.2020 2:00;14.июл;709.8;752.8;;100;Ветер, дующий с востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.июл;;;;;;
22.08.2020 5:00;13.фев;709.9;753.1;;100;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.фев;;;;;;
22.08.2020 8:00;16.0;710.7;753.4;;100;Ветер, дующий с юго-юго-востока;4;;;100%.; ;;;12.авг;;;100%.;300-600;;;10.0;16.0;;;;;;
22.08.2020 11:00;18.июл;710.9;753.3;;80;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;;;60%.;600-1000;;;10.0;15.фев;;;;;;
22.08.2020 14:00;20.авг;710.6;752.7;;70;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;60%.;600-1000;;;10.0;15.фев;;;;;;
22.08.2020 17:00;19.0;710.8;753.1;;74;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;60%.;1000-1500;;;10.0;14.фев;;;;;;
22.08.2020 20:00;17.апр;710.3;752.9;;81;Ветер, дующий с северо-запада;1;;;60%.; ;;;;22.янв;;10%  или менее, но не 0;2500 или более, или облаков нет.;;;10.0;14.янв;;;;;;
22.08.2020 23:00;14.янв;710.5;753.6;;100;Штиль, безветрие;0;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.янв;;;;;;
23.08.2020 2:00;11.июн;710.4;753.8;;100;Ветер, дующий с востока;2;;;50%.; ;;;;;;20–30%.;Менее 50;;;03.апр;11.июн;;;;;;
23.08.2020 5:00;10.фев;710.5;754.3;;100;Ветер, дующий с востока;1;;;Небо не видно из-за тумана и/или других метеорологических явлений.; ;;;;;;;;;;0.1;10.фев;;;;;;
23.08.2020 8:00;11.фев;711.4;754.9;;100;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;09.май;;;100%.;50-100;;;0.8;11.фев;;;;;;
23.08.2020 11:00;13.май;711.7;755.0;;100;Ветер, дующий с запада;4;;;100%.; ;;;;;;100%.;100-200;;;;13.май;;;;;;
23.08.2020 14:00;13.фев;711.9;755.2;;100;Ветер, дующий с западо-северо-запада;7;10;;100%.; ;;;;;;100%.;100-200;;;10.0;13.фев;;;;;;
23.08.2020 17:00;12.сен;712.3;755.7;;100;Ветер, дующий с запада;6;;;100%.; ;;;;;;100%.;100-200;;;10.0;12.сен;;;;;;
23.08.2020 20:00;13.0;712.2;755.6;;100;Ветер, дующий с запада;4;;;100%.; ;;;;13.июн;;100%.;200-300;;;10.0;13.0;;;;;;
23.08.2020 23:00;13.янв;712.3;755.6;;100;Ветер, дующий с запада;4;;;100%.; ;;;;;;100%.;100-200;;;10.0;13.янв;;;;;;
24.08.2020 2:00;13.мар;712.0;755.3;;100;Ветер, дующий с запада;3;;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;13.мар;;;;;;
24.08.2020 5:00;12.мар;711.5;755.0;;100;Штиль, безветрие;0;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;12.мар;;;;;;
24.08.2020 8:00;13.0;711.2;754.6;;100;Штиль, безветрие;0;;;100%.; ;;;;;;20–30%.;300-600;;;9.0;13.0;;;;;;
24.08.2020 11:00;16.июл;710.9;753.7;;79;Ветер, дующий с запада;1;;;100%.; ;;;;;;20–30%.;600-1000;;;10.0;13.янв;;;;;;
24.08.2020 14:00;20.мар;710.2;752.3;;63;Ветер, дующий с западо-северо-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.сен;;;;;;
24.08.2020 17:00;20.сен;709.0;751.0;;60;Ветер, дующий с юга;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.сен;;;;;;
24.08.2020 20:00;18.апр;709.5;751.9;;64;Ветер, дующий с северо-востока;1;;;100%.; ;;;;22.мар;;;2500 или более, или облаков нет.;;;10.0;11.апр;;;;;;
24.08.2020 23:00;12.июн;710.3;753.7;;100;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;03.июн;12.июн;;;;;;
25.08.2020 2:00;13.апр;710.3;753.5;;100;Ветер, дующий с северо-северо-запада;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.апр;;;;;;
25.08.2020 5:00;11.июн;710.5;754.0;;100;Ветер, дующий с востока;2;;;100%.; ;;;;;;20–30%.;1500-2000;;;;11.июн;;;;;;
25.08.2020 8:00;12.июн;711.0;754.4;;100;Ветер, дующий с юго-востока;1;;;100%.; ;;;10.май;;;40%.;1500-2000;;;9.0;12.июн;;;;;;
25.08.2020 11:00;15.янв;711.5;754.5;;91;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;60%.;300-600;;;10.0;13.июл;;;;;;
25.08.2020 14:00;15.июл;711.1;754.0;;87;Ветер, дующий с юго-юго-востока;1;;;100%.; ;;;;;;40%.;1500-2000;;;10.0;13.июн;;;;;;
25.08.2020 17:00;19.авг;710.6;752.9;;59;Ветер, дующий с северо-запада;3;;;100%.; ;;;;;;20–30%.;600-1000;;;10.0;11.июн;;;;;;
25.08.2020 20:00;16.янв;710.5;753.3;;85;Ветер, дующий с юга;1;;;100%.; ;;;;20.мар;;20–30%.;1500-2000;;;10.0;13.июн;;;;;;
25.08.2020 23:00;11.апр;710.7;754.2;;100;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.апр;;;;;;
26.08.2020 2:00;08.авг;709.8;753.7;;100;Ветер, дующий с востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;04.авг;08.авг;;;;;;
26.08.2020 5:00;10.мар;708.5;752.1;;100;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.мар;;;;;;
26.08.2020 8:00;12.сен;707.4;750.5;;100;Ветер, дующий с востоко-северо-востока;1;;;100%.; ;;;07.сен;;;;2500 или более, или облаков нет.;;;10.0;12.сен;;;;;;
26.08.2020 11:00;16.янв;706.8;749.3;;90;Ветер, дующий с юго-юго-востока;5;;;100%.; ;;;;;;40%.;1000-1500;;;10.0;14.апр;;;;;;
26.08.2020 14:00;18.сен;706.0;748.1;;70;Ветер, дующий с востоко-юго-востока;7;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;13.мар;;;;;;
26.08.2020 17:00;19.май;705.4;747.4;;67;Ветер, дующий с востоко-юго-востока;4;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;13.янв;;;;;;
26.08.2020 20:00;17.июн;705.9;748.2;;77;Штиль, безветрие;0;;;100%.; ;;;;20.мар;;;2500 или более, или облаков нет.;;;;13.май;;;;;;
26.08.2020 23:00;15.апр;706.7;749.4;;87;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;13.мар;;;;;;
27.08.2020 2:00;14.июн;707.8;750.6;;97;Ветер, дующий с западо-северо-запада;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.фев;;;;;;
27.08.2020 5:00;14.0;708.7;751.6;;100;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;14.0;;;;;;
27.08.2020 8:00;14.апр;709.6;752.6;;100;Ветер, дующий с северо-запада;5;;;100%.; ;;;13.май;;;40%.;300-600;;;7.0;14.апр;;;;;;
27.08.2020 11:00;18.мар;710.5;752.9;;72;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;;40%.;1000-1500;;;10.0;13.фев;;;;;;
27.08.2020 14:00;17.мар;710.8;753.4;;86;Ветер, дующий с северо-запада;9;13;;100%.; ;;;;;;70 – 80%.;600-1000;;;10.0;14.сен;;;;;;
27.08.2020 17:00;14.май;712.0;755.1;;100;Ветер, дующий с северо-запада;9;;;100%.; ;;;;;;70 – 80%.;200-300;;;10.0;14.май;;;;;;
27.08.2020 20:00;13.июл;713.3;756.7;;100;Ветер, дующий с северо-запада;9;12;;100%.; ;;;;19.авг;;100%.;100-200;;;10.0;13.июл;;;;;;
27.08.2020 23:00;13.янв;713.5;757.0;;100;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;100%.;100-200;;;6.0;13.янв;;;;;;
28.08.2020 2:00;12.авг;713.8;757.3;;100;Ветер, дующий с северо-запада;6;;;100%.; ;;;;;;100%.;50-100;;;04.июл;12.авг;;;;;;
28.08.2020 5:00;12.июл;714.3;757.8;;100;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;100%.;50-100;;;04.апр;12.июл;;;;;;
28.08.2020 8:00;12.авг;714.7;758.2;;100;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;12.июн;;;100%.;50-100;;;;12.авг;;;;;;
28.08.2020 11:00;13.0;715.0;758.5;;100;Ветер, дующий с запада;4;;;100%.; ;;;;;;100%.;50-100;;;6.0;13.0;;;;;;
28.08.2020 14:00;13.июл;715.1;758.5;;100;Ветер, дующий с запада;5;;;100%.; ;;;;;;100%.;50-100;;;10.0;13.июл;;;;;;
28.08.2020 17:00;13.сен;715.4;758.8;;100;Ветер, дующий с запада;4;;;100%.; ;;;;;;100%.;100-200;;;9.0;13.сен;;;;;;
28.08.2020 20:00;13.июн;715.9;759.3;;100;Ветер, дующий с юго-юго-запада;2;;;100%.; ;;;;14.мар;;100%.;1000-1500;;;10.0;13.июн;;;;;;
28.08.2020 23:00;13.апр;716.2;759.7;;100;Ветер, дующий с юга;3;;;100%.; ;;;;;;100%.;1000-1500;;;9.0;13.апр;;;;;;
29.08.2020 2:00;13.0;716.2;759.7;;100;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;100%.;50-100;;;6.0;13.0;;;;;;
29.08.2020 5:00;12.май;716.2;759.8;;100;Ветер, дующий с юга;2;;;100%.; ;;;;;;100%.;50-100;;;8.0;12.май;;;;;;
29.08.2020 8:00;13.0;716.7;760.3;;100;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;12.май;;;100%.;100-200;;;4.0;13.0;;;;;;
29.08.2020 11:00;16.янв;716.8;760.0;;90;Ветер, дующий с запада;2;;;100%.; ;;;;;;50%.;300-600;;;10.0;14.май;;;;;;
29.08.2020 14:00;19.янв;715.9;758.6;;69;Ветер, дующий с запада;4;;;100%.; ;;;;;;40%.;600-1000;;;10.0;13.фев;;;;;;
29.08.2020 17:00;17.сен;715.6;758.5;;78;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;20–30%.;600-1000;;;10.0;13.сен;;;;;;
29.08.2020 20:00;15.мар;716.2;759.4;;94;Ветер, дующий с северо-запада;2;;;100%.; ;;;;19.июл;;20–30%.;600-1000;;;10.0;14.мар;;;;;;
29.08.2020 23:00;14.фев;716.5;759.9;;100;Ветер, дующий с юго-юго-востока;3;;;100%.; ;;;;;;70 – 80%.;600-1000;;;;14.фев;;;;;;
30.08.2020 2:00;13.июл;716.2;759.6;;100;Ветер, дующий с юго-юго-востока;2;;;100%.; ;;;;;;100%.;300-600;;;;13.июл;;;;;;
30.08.2020 5:00;13.июн;715.9;759.3;;100;Штиль, безветрие;0;;;100%.; ;;;;;;100%.;50-100;;;03.авг;13.июн;;;;;;
30.08.2020 8:00;13.июн;716.0;759.4;;100;Ветер, дующий с западо-юго-запада;1;;;100%.; ;;;13.апр;;;100%.;50-100;;;04.фев;13.июн;;;;;;
30.08.2020 11:00;14.май;716.0;759.4;;100;Ветер, дующий с северо-запада;2;;;100%.; ;;;;;;100%.;100-200;;;04.фев;14.май;;;;;;
30.08.2020 14:00;16.апр;715.6;758.5;;100;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;100%.;300-600;;;7.0;16.апр;;;;;;
30.08.2020 17:00;16.авг;715.6;758.5;;93;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;60%.;300-600;;;10.0;15.июн;;;;;;
30.08.2020 20:00;14.сен;716.5;759.8;;100;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;;18.фев;;50%.;200-300;;;10.0;14.сен;;;;;;
30.08.2020 23:00;13.фев;717.1;760.7;;100;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;70 – 80%.;200-300;;;10.0;13.фев;;;;;;
31.08.2020 2:00;12.июл;717.3;760.9;;100;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;70 – 80%.;200-300;;;10.0;12.июл;;;;;;
31.08.2020 5:00;11.сен;717.1;760.9;;100;Ветер, дующий с северо-запада;5;;;100%.; ;;;;;;100%.;100-200;;;10.0;11.сен;;;;;;
31.08.2020 8:00;11.май;717.7;761.7;;100;Ветер, дующий с северо-запада;5;;;100%.; ;;;11.янв;;;50%.;600-1000;;;10.0;11.май;;;;;;
31.08.2020 11:00;17.мар;717.7;760.8;;75;Ветер, дующий с западо-северо-запада;7;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;12.июл;;;;;;
31.08.2020 14:00;20.фев;717.1;759.7;;53;Ветер, дующий с северо-запада;7;;;100%.; ;;;;;;20–30%.;1500-2000;;;10.0;10.апр;;;;;;
31.08.2020 17:00;20.янв;716.7;759.3;;49;Ветер, дующий с западо-северо-запада;6;;;100%.; ;;;;;;50%.;1500-2000;;;10.0;09.янв;;;;;;
31.08.2020 20:00;15.авг;717.5;760.9;;64;Ветер, дующий с северо-запада;5;;;100%.; ;;;;21.июн;;40%.;1500-2000;;;10.0;08.сен;;;;;;
31.08.2020 23:00;13.авг;718.6;762.3;;82;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;20–30%.;1000-1500;;;10.0;10.авг;;;;;;
01.09.2020 2:00;12.апр;718.9;762.7;;87;Ветер, дующий с западо-северо-запада;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;10.мар;;;;;;
01.09.2020 5:00;12.май;719.2;763.0;;88;Ветер, дующий с западо-северо-запада;4;;;100%.; ;;;;;;60%.;600-1000;;;10.0;10.июн;;;;;;
01.09.2020 8:00;13.янв;719.8;763.6;;92;Ветер, дующий с западо-северо-запада;5;;;100%.; ;;;11.0;;;60%.;1000-1500;;;10.0;11.авг;;;;;;
01.09.2020 11:00;15.июл;719.9;763.3;;81;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;50%.;300-600;;;10.0;12.май;;;;;;
01.09.2020 14:00;18.июл;719.0;762.0;;56;Ветер, дующий с северо-северо-запада;4;;;100%.; ;;;;;;40%.;600-1000;;;10.0;09.июн;;;;;;
01.09.2020 17:00;19.мар;718.1;760.9;;49;Ветер, дующий с северо-запада;4;;;100%.; ;;;;;;10%  или менее, но не 0;1500-2000;;;10.0;08.мар;;;;;;
01.09.2020 20:00;17.май;717.4;760.5;;50;Ветер, дующий с востоко-северо-востока;2;;;20–30%.; ;;;;20.июн;;;2500 или более, или облаков нет.;;;10.0;7.0;;;;;;
01.09.2020 23:00;09.май;717.1;761.4;;100;Ветер, дующий с востока;3;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.май;;;;;;
02.09.2020 2:00;08.янв;715.7;760.1;;100;Ветер, дующий с востока;3;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;08.янв;;;;;;
02.09.2020 5:00;10.июл;714.7;758.6;;91;Ветер, дующий с востока;2;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;09.фев;;;;;;
02.09.2020 8:00;12.сен;714.2;757.7;;79;Ветер, дующий с юго-юго-востока;4;;;40%.; ;;;07.мар;;;;2500 или более, или облаков нет.;;;10.0;09.апр;;;;;;
02.09.2020 11:00;19.апр;713.4;755.9;;58;Ветер, дующий с юга;5;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.0;;;;;;
02.09.2020 14:00;21.апр;712.6;754.8;;55;Ветер, дующий с юга;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;11.сен;;;;;;
02.09.2020 17:00;19.0;713.2;755.8;;69;Ветер, дующий с запада;2;;;100%.; ;;;;;;20–30%.;2500 или более, или облаков нет.;;;10.0;13.фев;;;;;;
02.09.2020 20:00;15.май;713.5;756.6;;100;Ветер, дующий с юга;3;;;100%.; ;;;;24.янв;;20–30%.;1500-2000;;;10.0;15.май;;;;;;
