Местное время в Иркутске (аэропорт);T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
29.01.2017 17:00;-13.7;724.6;773.7;;46;Ветер, дующий с юго-юго-востока;5;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-22.9;;;;;;
29.01.2017 23:00;-19.6;724.3;774.4;;69;Ветер, дующий с востоко-юго-востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-23.9;;;;;;
30.01.2017 5:00;-27.0;723.4;775.1;;75;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-30.1;;;;;;
30.01.2017 11:00;-23.4;724.7;775.7;;72;Ветер, дующий с востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-27.0;;;;;;
30.01.2017 17:00;-13.1;724.9;773.8;;57;Ветер, дующий с юго-юго-запада;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-20.0;;;;;;
30.01.2017 23:00;-20.2;726.9;777.4;;77;Ветер, дующий с северо-северо-востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;-23.2;;;;;;
31.01.2017 5:00;-20.9;727.4;778.1;;83;Ветер, дующий с востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-23.1;;;;;;
31.01.2017 11:00;-20.8;727.2;777.8;;79;Ветер, дующий с востока;2;;;40%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-23.5;;;;;;
31.01.2017 17:00;-9.4;724.1;772.3;;49;Ветер, дующий с севера;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-18.2;;;;;;
31.01.2017 23:00;-13.9;724.6;773.7;;82;Ветер, дующий с востока;2;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-16.4;;;;;;
01.02.2017 5:00;-16.6;724.1;773.7;;83;Ветер, дующий с востоко-юго-востока;1;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-18.9;;;;;;
01.02.2017 11:00;-13.5;723.5;772.5;;68;Ветер, дующий с востока;2;;;60%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-18.2;;;;;;
01.02.2017 17:00;-8.6;721.6;769.4;;63;Ветер, дующий с юго-юго-запада;3;;;Облаков нет.; ;;;;;;;;;;10.0;-14.5;;;;;;
01.02.2017 23:00;-13.7;721.6;770.5;;78;Ветер, дующий с востока;2;;;Облаков нет.; ;;;;;;;;;;10.0;-16.8;;;;;;
02.02.2017 5:00;-18.2;721.4;771.1;;86;Ветер, дующий с востока;3;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-20.0;;;;;;
02.02.2017 11:00;-19.1;722.4;772.3;;82;Штиль, безветрие;0;;;20–30%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-21.4;;;;;;
02.02.2017 17:00;-11.4;721.3;769.6;;70;Ветер, дующий с западо-северо-запада;2;;;70 – 80%.; ;;;;;;20–30%.;300-600;;;04.мар;-15.8;;;;;;
02.02.2017 23:00;-13.2;721.3;770.0;;80;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;4.0;-16.0;;;;;;
03.02.2017 5:00;-15.0;721.2;770.2;;86;Штиль, безветрие;0;;;100%.; ;;;;;;40%.;1000-1500;;;4.0;-16.9;;;;;;
03.02.2017 11:00;-12.8;721.6;770.3;;82;Штиль, безветрие;0;;;100%.; ;;;;;;50%.;600-1000;;;4.0;-15.2;;;;;;
03.02.2017 17:00;-6.5;721.0;768.4;;69;Штиль, безветрие;0;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-11.3;;;;;;
03.02.2017 23:00;-15.0;721.2;770.2;;86;Ветер, дующий с востоко-северо-востока;3;;;50%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-16.9;;;;;;
04.02.2017 5:00;-16.8;720.7;770.0;;85;Ветер, дующий с востока;3;;;100%.; ;;;;;;;2500 или более, или облаков нет.;;;10.0;-18.8;;;;;;
04.02.2017 17:00;-12.8;723.3;772.1;;77;Ветер, дующий с юго-востока;1;;;100%.; ;;;;;;20–30%.;1000-1500;;;4.0;-16.1;;;;;;
