Местное время на Большом Ушканьем о.;T;Po;P;Pa;U;DD;Ff;ff10;ff3;N;WW;W1;W2;Tn;Tx;Cl;Nh;H;Cm;Ch;VV;Td;RRR;tR;E;Tg;E';sss
10.02.2017 20:00;-15.9;729.0;;;60;Ветер, дующий с севера;4;;;Облаков нет.; ;;;;-15.9;;;;;;;;;;;;;
11.02.2017 2:00;-17.2;728.0;;;65;Ветер, дующий с северо-востока;3;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
11.02.2017 8:00;;728.0;;;;Ветер, дующий с севера;3;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
11.02.2017 14:00;-12.8;727.0;;;50;Ветер, дующий с севера;3;;;20–30%.; ;;;;;;;;;;50.0;;;;;;;
11.02.2017 20:00;;728.0;;;;Ветер, дующий с юго-востока;1;;;Облаков нет.; ;;;;-12.8;;;;;;;;;;;;;
12.02.2017 2:00;;730.0;;;;Ветер, дующий с юго-востока;3;;;Облаков нет.; ;;;;;;;;;;;;;;;;;
12.02.2017 8:00;-16.5;731.0;;;80;Ветер, дующий с юго-запада;2;;;Облаков нет.; ;;;-19.9;;;;;;;50.0;;;;;;;
12.02.2017 14:00;-13.7;732.0;;;75;Ветер, дующий с севера;2;;;Облаков нет.; ;;;;;;;;;;50.0;;;;;;;
12.02.2017 20:00;;732.0;;;;Ветер, дующий с северо-востока;2;;;70 – 80%.; ;;;;-13.7;;;;;;;;;;;;;
13.02.2017 2:00;-14.9;732.0;;;75;Ветер, дующий с севера;2;;;100%.; ;;;;;;;;;;;;;;;;;
13.02.2017 8:00;;732.0;;;;Ветер, дующий с юга;2;;;50%.; ;;;-18.9;;;;;;;50.0;;;;;;;
13.02.2017 14:00;-13.4;731.0;;;90;Ветер, дующий с юга;1;;;100%.; ;;;;;;;;;;50.0;;;;;;;
13.02.2017 20:00;-13.9;732.0;;;85;Ветер, дующий с юго-востока;3;;;100%.; ;;;;-13.4;;;;;;;;;;;;;
14.02.2017 2:00;-14.1;731.0;;;90;Ветер, дующий с юго-востока;3;;;100%.; ;;;;;;;;;;;;;;;;;
