poryadkovy_nomer;tip;razryad;ugms;imya_stancii;repernayavekovay;sinopticheski_in;obshhesoyuzny_no;obshhesoyuzny_no1;obshhesoyuzny_no2;shirota;dolgota;raznost_mezhdu_p;territorialny_ko;cgms;status_sete_klim;priznak_proveden;priznak_proveden1;status_sete_gidr;status_sete_mors;status_sete_agro;priznak_proveden2;priznak_proveden3;priznak_proveden4;priznak_proveden5;stanciya_zakonse;data_zakrytiya_s;id;is_deleted;classname;created_by;edited_by;edited_on;created_on;published;point;kontroliruemye_p;vidy_informacion;vidy_infyx_resur;nablyudaemye_pok;periodichnost_ot
4804;Метеорологическая станция;2;ФГБУ Иркутское УГМС;АЛЫГДЖЕР;0;29894;5339830;;;53.63;98.22;5;138;Отсутствует;3;0;0;1;0;0;0;0;0;1;0;;12;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.195779;2021-02-26 17:10:51.195779+08;f;0104000020E6100000010000000101000000AE47E17A148E5840713D0AD7A3D04A40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
4809;Метеорологическая станция;2;ФГБУ Иркутское УГМС;ВЕРХНЯЯ ГУТАРА;1;29789;5429690;;;54.22;96.97;5;138;Отсутствует;2;0;0;0;0;0;0;0;0;1;0;;14;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.229002;2021-02-26 17:10:51.229002+08;f;0104000020E6100000010000000101000000AE47E17A143E58405C8FC2F5281C4B40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
6127;Метеорологическая станция;2;ФГБУ Иркутское УГМС;ЗУЛУМАЙ;0;30602;5370141;;;53.70;101.35;5;138;Отсутствует;3;0;0;0;0;0;0;0;0;1;0;;584;f;;50f7a1d80d58140037000006;;2021-02-26 17:11:02.492013;2021-02-26 17:11:02.492013+08;f;0104000020E610000001000000010100000066666666665659409A99999999D94A40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
4815;Метеорологическая станция;2;ФГБУ Иркутское УГМС;ЕРШОВО;1;30209;5710231;;;57.12;102.30;5;138;Братский ЦГМС;2;0;0;0;0;0;0;0;0;1;0;;16;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.265353;2021-02-26 17:10:51.265353+08;f;0104000020E610000001000000010100000033333333339359408FC2F5285C8F4C40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
4835;Метеорологическая станция;2;ФГБУ Иркутское УГМС;ПЕРЕВОЗ;1;30069;5901691;;;59.00;116.91;5;138;Отсутствует;2;0;0;0;0;0;0;0;0;1;0;;22;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.400878;2021-02-26 17:10:51.400878+08;f;0104000020E61000000100000001010000000AD7A3703D3A5D400000000000804D40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
4822;Метеорологическая станция;3;ФГБУ Иркутское УГМС;КУНЕРМА;0;30430;5580841;;;55.80;108.40;5;138;Отсутствует;3;0;0;1;0;0;0;0;0;1;0;;24;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.441867;2021-02-26 17:10:51.441867+08;f;0104000020E61000000100000001010000009A99999999195B406666666666E64B40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
6063;Метеорологическая станция;2;ФГБУ Иркутское УГМС;КАРАМ;1;30437;5520761;;30437;55.15;107.62;5;138;Отсутствует;2;0;0;0;0;3;0;0;0;1;0;;43;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.818952;2021-02-26 17:10:51.818952+08;f;0104000020E610000001000000010100000048E17A14AEE75A403333333333934B40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
4834;Метеорологическая станция;2;ФГБУ Иркутское УГМС;ОСА;0;30615;5340391;;30615;53.40;103.86;5;138;Отсутствует;4;0;0;0;0;3;0;0;0;1;0;;48;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:51.892426;2021-02-26 17:10:51.892426+08;f;0104000020E6100000010000000101000000D7A3703D0AF759403333333333B34A40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
4830;Метеорологическая станция;2;ФГБУ Иркутское УГМС;НЕПА;0;30037;5930821;;;59.25;108.23;5;138;Отсутствует;3;0;0;0;0;0;0;0;0;1;0;;56;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:52.078496;2021-02-26 17:10:52.078496+08;f;0104000020E61000000100000001010000001F85EB51B80E5B400000000000A04D40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
4812;Метеорологическая станция;3;ФГБУ Иркутское УГМС;ВЫДРИНО-НА-ЧУНЕ;0;29492;5689900;;;56.83;99.03;5;138;Братский ЦГМС;4;0;0;0;0;0;0;0;0;1;0;;57;f;;50f7a1d80d58140037000006;;2021-02-26 17:10:52.093143;2021-02-26 17:10:52.093143+08;f;0104000020E610000001000000010100000052B81E85EBC158400AD7A3703D6A4C40;;;Информация о наличии задымленности от лесных пожаров и о загрязнении атмосферного воздуха продуктами горения в населенных пунктах на территории деятельности ФГБУ «Иркутское УГШМС», где осуществляется мониторинг загрязнения атмосферного воздуха;;
